State,2000,2018
AL,1894,3737
AK,1364,1375
AZ,11935,18335
AR,1594,3000
CA,216447,200897
CO,8167,13913
CT,11263,11629
DE,1563,1831
DC,2528,2775
FL,94474,130405
GA,14707,26725
HI,6047,5430
ID,1914,2728
IL,36052,38287
IN,4105,9741
IA,3035,5484
KS,4554,5630
KY,2902,8734
LA,2981,4889
ME,1123,1749
MD,17565,24301
MA,23302,33174
MI,16655,19850
MN,8554,16721
MS,1074,1643
MO,5988,7638
MT,488,565
NE,2201,6500
NV,7757,10851
NH,1992,2200
NJ,39778,54424
NM,3951,4296
NY,105521,134839
NC,9193,20838
ND,414,1674
OH,9201,18809
OK,4550,5938
OR,8479,9679
PA,17970,26078
PR,2624,3062
RI,2513,4336
SC,2253,5078
SD,445,1132
TN,4837,9590
TX,63391,104515
UT,3667,5723
VT,802,824
VA,19985,27426
WA,18245,26029
WV,569,675
WI,5034,7433
WY,247,409
