Year,Number of Immigrants,Immigrants as a Percentage of the U.S. Population (%)
1850,2244600,9.7
1860,4138700,13.2
1870,5567200,14.4
1880,6679900,13.3
1890,9249500,14.8
1900,10341300,13.6
1910,13515900,14.7
1920,13920700,13.2
1930,14204100,11.6
1940,11594900,8.8
1950,10347400,6.9
1960,9738100,5.4
1970,9619300,4.7
1980,14079900,6.2
1990,19767300,7.9
2000,31107900,11.1
2010,39955900,12.9
2011,40377900,13.0
2012,40824700,13.0
2013,41348100,13.1
2014,42391800,13.3
2015,43290400,13.5
2016,43739300,13.5
2017,44525900,13.7
