,Year,Number
0,1820,8385
1,1821,9127
2,1822,6911
3,1823,6354
4,1824,7912
5,1825,10199
6,1826,10837
7,1827,18875
8,1828,27382
9,1829,22520
10,1830,23322
11,1831,22633
12,1832,60482
13,1833,58640
14,1834,65365
15,1835,45374
16,1836,76242
17,1837,79340
18,1838,38914
19,1839,68069
20,1840,84066
21,1841,80289
22,1842,104565
23,1843,52496
24,1844,78615
25,1845,114371
26,1846,154416
27,1847,234968
28,1848,226527
29,1849,297024
30,1850,369980
31,1851,379466
32,1852,371603
33,1853,368645
34,1854,427833
35,1855,200877
36,1856,200436
37,1857,251306
38,1858,123126
39,1859,121282
40,1860,153640
41,1861,91918
42,1862,91985
43,1863,176282
44,1864,193418
45,1865,248120
46,1866,318568
47,1867,315722
48,1868,138840
49,1869,352768
50,1870,387203
51,1871,321350
52,1872,404806
53,1873,459803
54,1874,313339
55,1875,227498
56,1876,169986
57,1877,141857
58,1878,138469
59,1879,177826
60,1880,457257
61,1881,669431
62,1882,788992
63,1883,603322
64,1884,518592
65,1885,395346
66,1886,334203
67,1887,490109
68,1888,546889
69,1889,444427
70,1890,455302
71,1891,560319
72,1892,579663
73,1893,439730
74,1894,285631
75,1895,258536
76,1896,343267
77,1897,230832
78,1898,229299
79,1899,311715
80,1900,448572
81,1901,487918
82,1902,648743
83,1903,857046
84,1904,812870
85,1905,1026499
86,1906,1100735
87,1907,1285349
88,1908,782870
89,1909,751786
90,1910,1041570
91,1911,878587
92,1912,838172
93,1913,1197892
94,1914,1218480
95,1915,326700
96,1916,298826
97,1917,295403
98,1918,110618
99,1919,141132
100,1920,430001
101,1921,805228
102,1922,309556
103,1923,522919
104,1924,706896
105,1925,294314
106,1926,304488
107,1927,335175
108,1928,307255
109,1929,279678
110,1930,241700
111,1931,97139
112,1932,35576
113,1933,23068
114,1934,29470
115,1935,34956
116,1936,36329
117,1937,50244
118,1938,67895
119,1939,82998
120,1940,70756
121,1941,51776
122,1942,28781
123,1943,23725
124,1944,28551
125,1945,38119
126,1946,108721
127,1947,147292
128,1948,170570
129,1949,188317
130,1950,249187
131,1951,205717
132,1952,265520
133,1953,170434
134,1954,208177
135,1955,237790
136,1956,321625
137,1957,326867
138,1958,253265
139,1959,260686
140,1960,265398
141,1961,271344
142,1962,283763
143,1963,306260
144,1964,292248
145,1965,296697
146,1966,323040
147,1967,361972
148,1968,454448
149,1969,358579
150,1970,373326
151,1971,370478
152,1972,384685
153,1973,398515
154,1974,393919
155,1975,385378
156,1976,499093
157,1977,458755
158,1978,589810
159,1979,394244
160,1980,524295
161,1981,595014
162,1982,533624
163,1983,550052
164,1984,541811
165,1985,568149
166,1986,600027
167,1987,599889
168,1988,641346
169,1989,1090172
170,1990,1535872
171,1991,1826595
172,1992,973445
173,1993,903916
174,1994,803993
175,1995,720177
176,1996,915560
177,1997,797847
178,1998,653206
179,1999,644787
180,2000,841002
181,2001,1058902
182,2002,1059356
183,2003,703542
184,2004,957883
185,2005,1122257
186,2006,1266129
187,2007,1052415
188,2008,1107126
189,2009,1130818
190,2010,1042625
191,2011,1062040
192,2012,1031631
193,2013,990553
194,2014,1016518
195,2015,1051031
196,2016,1183505
197,2017,1127167
198,2018,1096611
