,Lat,Lng
0,41.0,20.0
1,40.0,45.0
2,47.33333333,13.33333333
3,40.5,47.5
4,53.0,28.0
5,50.83333333,4.0
6,43.0,25.0
7,45.16666666,15.5
8,56.0,10.0
9,59.0,26.0
10,64.0,26.0
11,42.0,43.5
12,51.0,9.0
13,39.0,22.0
14,47.0,20.0
15,65.0,-18.0
16,53.0,-8.0
17,42.83333333,12.83333333
18,48.0,68.0
19,41.0,75.0
20,57.0,25.0
21,56.0,24.0
22,49.75,6.16666666
23,41.608635,21.745275
24,35.83333333,14.58333333
25,47.0,29.0
26,43.73333333,7.4
27,52.5,5.75
28,62.0,10.0
29,52.0,20.0
30,39.5,-8.0
31,46.0,25.0
32,60.0,100.0
33,46.11666666,14.81666666
34,40.0,-4.0
35,62.0,15.0
36,47.0,8.0
37,39.0,71.0
38,40.0,60.0
39,49.0,32.0
40,54.0,-2.0
41,41.0,64.0
42,33.0,65.0
43,26.0,50.55
44,24.0,90.0
45,27.5,90.5
46,4.5,114.66666666
47,21.916221,95.955974
48,13.0,105.0
49,35.86166,104.195397
50,35.0,33.0
51,22.25,114.16666666
52,20.0,77.0
53,-5.0,120.0
54,32.0,53.0
55,33.0,44.0
56,31.5,34.75
57,36.0,138.0
58,31.0,36.0
59,29.5,45.75
60,18.0,105.0
61,33.83333333,35.83333333
62,22.16666666,113.55
63,2.5,112.5
64,3.25,73.0
65,46.0,105.0
66,28.0,84.0
67,21.0,57.0
68,30.0,70.0
69,13.0,122.0
70,25.5,51.25
71,25.0,45.0
72,1.36666666,103.8
73,7.0,81.0
74,35.0,38.0
75,23.5,121.0
76,15.0,100.0
77,39.0,35.0
78,24.0,54.0
79,16.16666666,107.83333333
80,15.0,48.0
81,28.0,3.0
82,-12.5,18.5
83,9.5,2.25
84,-22.0,24.0
85,13.0,-2.0
86,-3.5,30.0
87,6.0,12.0
88,7.0,21.0
89,15.0,19.0
90,7.539988999999999,-5.547079999999999
91,11.5,43.0
92,27.0,30.0
93,2.0,10.0
94,15.0,39.0
95,8.0,38.0
96,-1.0,11.75
97,8.0,-2.0
98,11.0,-10.0
99,1.0,38.0
100,-29.5,28.5
101,6.5,-9.5
102,25.0,17.0
103,-20.0,47.0
104,-13.5,34.0
105,17.0,-4.0
106,20.0,-12.0
107,-20.28333333,57.55
108,32.0,-5.0
109,-18.25,35.0
110,-22.0,17.0
111,16.0,8.0
112,10.0,8.0
113,-2.0,30.0
114,0.18636,6.613080999999999
115,14.0,-14.0
116,-4.58333333,55.66666666
117,8.5,-11.5
118,10.0,49.0
119,-29.0,24.0
120,15.0,30.0
121,-6.0,35.0
122,8.0,1.16666666
123,34.0,9.0
124,1.0,32.0
125,-15.0,30.0
126,-20.0,30.0
127,-14.33333333,-170.0
128,-27.0,133.0
129,-18.0,175.0
130,-15.0,-140.0
131,1.41666666,173.0
132,9.0,168.0
133,7.425554,150.550812
134,-21.5,165.5
135,-41.0,174.0
136,7.5,134.5
137,-6.0,147.0
138,-20.0,-175.0
139,60.0,-95.0
140,23.0,-102.0
141,38.0,-97.0
142,18.25,-63.16666666
143,12.5,-69.96666666
144,13.16666666,-59.53333333
145,32.33333333,-64.75
146,19.5,-80.5
147,21.5,-80.0
148,15.41666666,-61.33333333
149,19.0,-70.66666666
150,12.11666666,-61.66666666
151,19.0,-72.41666666
152,18.25,-77.5
153,16.75,-62.2
154,11.0,-61.0
155,21.694025,-71.797928
156,17.25,-88.75
157,10.0,-84.0
158,13.83333333,-88.91666666
159,15.5,-90.25
160,15.0,-86.5
161,13.0,-85.0
162,9.0,-80.0
163,-34.0,-64.0
164,-17.0,-65.0
165,-10.0,-55.0
166,-30.0,-71.0
167,4.0,-72.0
168,-2.0,-77.5
169,5.0,-59.0
170,-23.0,-58.0
171,-10.0,-76.0
172,4.0,-56.0
173,-33.0,-56.0
174,8.0,-66.0
