Year,Petitions filed,"Naturalized, total",Petitions denied
1907,21113,7941,250
1908,44032,25975,3330
1909,43141,38374,6341
1910,55750,39448,7781
1911,74740,56683,9017
1912,95661,70310,9635
1913,95380,83561,10891
1914,124475,104145,13133
1915,106399,91848,13691
1916,108767,87831,11927
1917,130865,88104,9544
1918,169507,151449,12182
1919,256858,217358,13119
1920,218732,177683,15586
1921,195534,181292,18981
1922,162638,170447,29076
1923,165168,145084,24884
1924,177117,150510,18324
1925,162258,152457,15613
1926,172232,146331,13274
1927,240339,199804,11946
1928,240321,233155,12479
1929,255519,224728,11848
1930,113151,169377,9068
1931,145474,143495,7514
1932,131062,136600,5478
1933,112629,113363,4703
1934,117125,113669,1133
1935,131378,118945,2765
1936,167127,141265,3124
1937,165464,164976,4042
1938,175413,162078,4854
1939,213413,188813,5630
1940,278028,235260,6549
1941,277807,277294,7769
1942,343487,270364,8348
1943,377125,318933,13656
1944,325717,441979,7297
1945,195917,231402,9782
1946,123864,150062,6575
1947,88802,93904,3953
1948,68265,70150,2887
1949,71044,66594,2271
1950,66038,66346,2276
1951,61634,54716,2395
1952,94086,88655,2163
1953,98128,92051,2300
1954,130722,117831,2084
1955,213508,209526,4571
1956,137701,145885,3935
1957,140547,138043,2948
1958,117344,119866,2688
1959,109270,103931,2208
1960,127543,119442,2277
1961,138718,132450,3175
1962,129682,127307,3557
1963,121170,124178,2436
1964,113218,112234,2309
1965,106813,104299,2059
1966,104853,103059,2029
1967,108369,104902,2008
1968,103085,102726,1962
1969,102317,98709,2043
1970,114760,110399,1979
1971,109897,108407,2028
1972,121883,116215,1837
1973,126929,120404,1708
1974,136175,131153,2210
1975,149399,140749,2300
1976,199152,189988,2799
1977,186354,159873,2845
1978,168854,171971,3894
1979,165434,163107,3987
1980,192230,156627,4370
1981,171073,164389,4316
1982,201507,141004,3994
1983,187719,178415,3160
1984,286440,195862,3373
1985,305981,242451,3610
1986,290732,279497,5980
1987,232988,223249,6771
1988,237752,240775,4304
1989,227692,232655,5200
1990,233843,267586,6516
1991,206668,307394,6268
1992,342238,239664,19293
1993,521866,313590,39931
1994,543353,429123,40561
1995,959963,485720,46067
1996,1277403,1040991,229842
1997,1412712,596010,130676
1998,932957,461169,137395
1999,765346,837418,379993
2000,460916,886026,399670
2001,501643,606259,218326
2002,700649,572646,139779
2003,523370,462435,91599
2004,662796,537151,103339
2005,602972,604280,108247
2006,730642,702589,120722
2007,1382993,660477,89683
2008,525786,1046539,121283
2009,570442,743715,109832
2010,710544,619913,56994
2011,756008,694193,57065
2012,899162,757434,65874
2013,772623,779929,83112
2014,773824,653416,66767
2015,783062,730259,75810
2016,972151,753060,86033
2017,986851,707265,83176
2018,810548,761901,92586
